Hand,win%,tie%,loss%
"9 of Diamonds, 10 of Diamonds",21.8,2.7,75.6
"9 of Diamonds, J of Diamonds",22.7,2.5,74.8
"9 of Diamonds, Q of Diamonds",24.4,2.7,72.9
"9 of Diamonds, K of Diamonds",27.3,2.9,69.8
"9 of Diamonds, A of Diamonds",30.4,3.8,65.8
"10 of Diamonds, J of Diamonds",24.6,2.6,72.9
"10 of Diamonds, Q of Diamonds",25.6,2.4,72.0
"10 of Diamonds, K of Diamonds",28.1,3.0,68.9
"10 of Diamonds, A of Diamonds",33.8,3.2,63.0
"J of Diamonds, Q of Diamonds",26.7,2.3,71.0
"J of Diamonds, K of Diamonds",29.3,2.5,68.3
"J of Diamonds, A of Diamonds",34.0,2.8,63.1
"Q of Diamonds, K of Diamonds",29.4,2.3,68.3
"Q of Diamonds, A of Diamonds",35.0,2.5,62.6
"K of Diamonds, A of Diamonds",34.9,2.2,63.0
